bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
Bin_0	2998108	13	2362402	28.69712270352982	90.14084507042253	7.042253521126761	Bacteria	Firmicutes	Bacilli	RF39	CAG-1000	CAG-582	CAG-582 sp000435515
Bin_10	3058420	43	115869	50.11963499236973	63.38028169014085	12.67605633802817	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp002304735
Bin_100	230728	3	66629	43.71849415566375	0.0	0.0							
Bin_101	5177378	12	1172627	45.60572817071247	91.54929577464789	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp002490665
Bin_102	3381838	62	88252	47.15475907681537	83.09859154929578	47.88732394366197	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema	Treponema sp900316905
Bin_11	308803	2	283807	60.07349361024208	0.0	0.0							
Bin_12	28158	1	28158	42.89012003693444	0.0	0.0							
Bin_13	17866	3	10998	45.55719151230017	0.0	0.0							
Bin_14_1	3187737	5	1171544	47.9190206058597	90.14084507042253	14.084507042253522	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp001275135
Bin_14_2	2471867	2	2469022	48.486854290602096	94.36619718309859	1.408450704225352	Bacteria						
Bin_14_3	3258941	15	767043	53.09917318658839	92.95774647887323	8.450704225352112	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp002633115
Bin_15	87100	3	32181	31.195221606544155	0.0	0.0							
Bin_16	2631577	2	2443065	45.73175157346357	98.59154929577464	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	
Bin_17	24873	4	8106	35.83807143845387	0.0	0.0							
Bin_18	3764741	16	3024966	39.909442537946376	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp002493625
Bin_19	162521	5	103706	40.732458113850086	0.0	0.0							
